UZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
526001;Head of State;ウスマン・ユスポフ;36;LE;Barking Buffoon;High;M526001;x
526002;Head of Government;アクマル・イクラモフ;36;LE;Naive Optimist;High;M526002;x
526003;Foreign Minister;ファイズラ・コズハエフ;36;LE;Iron Fisted Brute;High;M526003;x
526004;Minister of Armament;アブドゥヴァリ・ムミノフ;36;LE;Tank Proponent;Medium;M526004;x
526005;Minister of Security;アブドゥザバル・アブドゥラクマノフ;36;LE;Back Stabber;Medium;M526005;x
526006;Head of Military Intelligence;ギラ・I・ズンコフスカヤ;36;LE;Logistics Specialist;Medium;M526006;x
526007;Chief of Staff;テギンベク・ショキロフ;36;LE;School of Fire Support;Medium;M526007;x
526008;Chief of Army;アブドゥマノブ・ストレシュネフ;36;LE;Armoured Spearhead Doctrine;Medium;M526008;x
526009;Chief of Navy;ヴラテスラフ・ドロニン;36;LE;Base Control Doctrine;Medium;M526009;x
526010;Chief of Air Force;イスタヴァン・M・ズーバ;36;LE;Carpet Bombing Doctrine;Medium;M526010;x
526011;Head of State;ヨルダシュベイ・オグル・ババイエフ;36;SD;Insignificant Layman;High;M526011;x
526012;Head of State;ポルヴォニツ・ユソポフ;36;PA;Weary Stiffneck;High;M526012;x
526013;Head of Government;ファルカト・ヌルトディノフ;36;SD;Corporate Suit;High;M526013;x
526014;Head of Government;アブドゥラヒム・マルテミャノフ;36;PA;Silent Workhorse;High;M526014;x
526015;Foreign Minister;アリシェル・オゴロドフ;36;LE;The Cloak N Dagger Schemer;High;M526015;x
526016;Foreign Minister;アシュカル・ムキトディノフ;36;SD;Ideological Crusader;High;M526016;x
526017;Foreign Minister;アリシャエル・ジェミル;36;SD;The Cloak N Dagger Schemer;High;M526017;x
526018;Foreign Minister;ニコライ・チチャゴフ;36;PA;Apologetic Clerk;High;M526018;x
526019;Foreign Minister;アリシェル・イヴァノフ;36;PA;Great Compromiser;High;M526019;x
526020;Minister of Armament;ビル・フィリポフ;36;LE;Laissez-Faire Capitalist;Medium;M526020;x
526021;Minister of Armament;ゲナジ・ダヴィドフ;36;LE;Air to Ground Proponent;Medium;M526021;x
526022;Minister of Armament;ファクリディン・ゼヴェツキ;36;SD;Military Entrepreneur;Medium;M526022;x
526023;Minister of Armament;ハミド・ドロドニツィン;36;SD;Strategic Air Proponent;Medium;M526023;x
526024;Minister of Armament;バブル・イパティエフ;36;PA;Air Superiority Proponent;Medium;M526024;x
526025;Minister of Armament;バハウディン・ゴルチャコフ;36;PA;Military Entrepreneur;Medium;M526025;x
526026;Minister of Security;イノケンティ・ゲラシモフ;36;LE;Crime Fighter;Medium;M526026;x
526027;Minister of Security;ニザム・ドンドゥコフ;36;LE;Compassionate Gentleman;Medium;M526027;x
526028;Minister of Security;ヤミン・ドミトリエフ;36;SD;Efficient Sociopath;Medium;M526028;x
526029;Minister of Security;ボリス・ドミトリエフスキ;36;SD;Compassionate Gentleman;Medium;M526029;x
526030;Minister of Security;ママデュリ・ディネイ;36;PA;Silent Lawyer;Medium;M526030;x
526031;Minister of Security;サリム・イェヴゲトフ;36;PA;Man of the People;Medium;M526031;x
526032;Head of Military Intelligence;ミハイル・デュブコフ;36;LE;Technical Specialist;Medium;M526032;x
526033;Head of Military Intelligence;イビ・ドバトキン;36;SD;Dismal Enigma;Medium;M526033;x
526034;Head of Military Intelligence;アヴラム・ゴリツィン;36;SD;Logistics Specialist;Medium;M526034;x
526035;Head of Military Intelligence;ハムザ・ドブリニン;36;PA;Logistics Specialist;Medium;M526035;x
526036;Head of Military Intelligence;フェリクス・ドロジンスキ;36;PA;Dismal Enigma;Medium;M526036;x
526037;Chief of Staff;フルカト・ドラチェンク;36;SD;School of Mass Combat;Medium;M526037;x
526038;Chief of Staff;バブル・イパティエフ;36;PA;School of Manoeuvre;Medium;M526038;x
526039;Chief of Army;ニコライ・グーコフ;36;SD;Static Defence Doctrine;Medium;M526039;x
526040;Chief of Army;ナゼ・デュディン;36;PA;Elastic Defence Doctrine;Medium;M526040;x
526041;Chief of Navy;オスマン・デマ;36;SD;Indirect Approach Doctrine;Medium;M526041;x
526042;Chief of Navy;サリム・イバディノフ;36;PA;Open Seas Doctrine;Medium;M526042;x
526043;Chief of Air Force;ゲネジ・グヴォルニコフ;36;SD;Vertical Envelopment Doctrine;Medium;M526043;x
526044;Chief of Air Force;バブル・イパティエフ;36;PA;Air Superiority Doctrine;Medium;M526038;x
526045;Head of State;ジークフリート・ウイバーライター;36;NS;Reichskommissar;Medium;M526045;x
