VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
38001;Head of State;エレアサル・コントレラス;36;PA;Barking Buffoon;High;M38001;x
38002;Head of Government;エレアサル・コントレラス;36;PA;Happy Amateur;High;M38001;x
38003;Foreign Minister;エステバン・ヒル・ボルヘス;36;PA;Great Compromiser;Medium;M38003;x
38004;Minister of Armament;ペドロ・ベアウペルトゥイ・ウリチ;36;SC;Military Entrepreneur;Low;M38004;x
38005;Minister of Security;サンティアゴ・ケイ・アヤラ;36;PA;Silent Lawyer;Medium;M38005;x
38006;Head of Military Intelligence;フロリアバルド・デ・バスケス・リナレス;36;PA;Political Specialist;Medium;M38006;x
38007;Chief of Staff;イサイアス・メディナ・アンガリタ;36;SC;School of Defence;Low;M38007;x
38008;Chief of Army;イサイアス・メディナ・アンガリタ;36;SC;Static Defence Doctrine;Low;M38007;x
38009;Chief of Navy;ウンベルト・サンタブリア・ビリャ;36;PA;Base Control Doctrine;Medium;M38009;x
38010;Chief of Air Force;タビド・ロペス・エンリケス;36;PA;Army Aviation Doctrine;Medium;M38010;x
38031;Head of State;イサイアス・メディナ・アンガリタ;41;SC;Resigned Generalissimo;High;M38007;x
38032;Head of State;ロムロ・ベタンクール;45;SD;Autocratic Charmer;High;L270001;x
38033;Head of Government;イサイアス・メディナ・アンガリタ;41;SC;Old General;High;M38007;x
38034;Head of Government;ロムロ・ベタンクール;45;SD;Flamboyant Tough Guy;High;L270001;x
38035;Foreign Minister;カラシオラ・パラ・ペレス;41;SC;Apologetic Clerk;Medium;M38035;x
38036;Foreign Minister;グスタボ・エレーラ・グラウ;45;ML;Iron Fisted Brute;Medium;M38036;x
38037;Foreign Minister;カルロス・モラレス・アコルシア;45;SD;Iron Fisted Brute;Medium;M38037;x
38038;Foreign Minister;ゴンサロ・バリオス;47;ML;General Staffer;Medium;M38038;x
38039;Minister of Armament;ドン・ペドロ・グラセス;38;PA;laissez-faire capitalist;Medium;M38039;x
38040;Minister of Armament;カルロス・ラモス・ディアス;41;SC;Submarine Proponent;Low;M38040;x
38041;Minister of Armament;ミゲル・ディアス・フライレ;42;SC;Strategic Air Proponent;Low;M38041;x
38042;Minister of Armament;カルロス・モリナ・タラバヨ;42;ML;Battle Fleet Proponent;Low;M38042;x
38043;Minister of Armament;エロイ・ラレス・マルティネス;43;ML;laissez-faire capitalist;Medium;M38043;x
38044;Minister of Armament;フリオ・ガルシア・ハルパ;45;ML;Military Entrepreneur;Medium;M38044;x
38045;Minister of Armament;ホセ・ビセンテ・ランヘル;46;SD;Resource Industrialist;Medium;M38045;x
38046;Minister of Security;ホセ・アゲレ・ベレ;36;SC;Efficient Sociopath;Medium;M38046;x
38047;Minister of Security;アントニオ・ホセ・ビリェガス;38;SC;Silent Lawyer;Medium;M38047;x
38048;Minister of Security;セサル・スメタ;39;PA;Compassionate Gentleman;Medium;M38048;x
38049;Minister of Security;アレハンドロ・アルマス;41;SC;Prince of Terror;Medium;M38049;x
38050;Minister of Security;アントニオ・J・ディアス・マルティネス;43;ML;Crime Fighter;Medium;M38050;x
38051;Minister of Security;ロムロ・ガリェゴス・フレイレ;45;SD;Man of the People;Medium;M38051;x
38052;Minister of Security;ホセ・サンギノ・カルデナス;46;LWR;Compassionate Gentleman;Medium;M38052;x
38053;Minister of Security;コンセプシオン・キハダ・ゴンサレス;46;SD;Silent Lawyer;Medium;M38053;x
38054;Minister of Security;アドルフォ・ゴンサレス・アキラル;47;LWR;Efficient Sociopath;Medium;M38054;x
38055;Minister of Security;イシドロ・ルイス・トゥエロ;47;ML;Prince of Terror;Medium;M38011;x
38056;Head of Military Intelligence;ディオヘネス・エスカランテ;36;PA;Industrial Specialist;Medium;M38056;x
38057;Head of Military Intelligence;アントニオ・カサス・ゴンサレス;39;SC;Naval Intelligence Specialist;Medium;M38057;x
38058;Head of Military Intelligence;ペドロ・アルカンタラ・ラヤ;41;SC;Industrial Specialist;Medium;M38058;x
38059;Head of Military Intelligence;ペドロ・P・アスプルア;42;ML;Technical Specialist;Medium;M38059;x
38060;Head of Military Intelligence;ルイス・モンサルボ・マレノ;45;SD;Logistics Specialist;Medium;M38060;x
38061;Head of Military Intelligence;ロベルト・レッツ・サンチェス;46;ML;Technical Specialist;Medium;M38061;x
38062;Head of Military Intelligence;ホビト・ビリャルバ;47;LWR;Political Specialist;Medium;M38021;x
38063;Chief of Staff;アントニオ・カサス・ゴンサレス;38;SC;School of Psychology;Medium;M38057;x
38064;Chief of Staff;カルロス・ガルシア・メンドーサ;41;SC;School of Mass Combat;Medium;M38064;x
38065;Chief of Staff;グスタボ・ゴンサレス・ロペス;43;ML;School of Manoeuvre;Medium;M38065;x
38066;Chief of Staff;ラウル・レオーニ・オテロ;45;SD;School of Psychology;Medium;M38027;x
38067;Chief of Army;ビクトル・サンチェス・クロエス;40;PA;Armoured Spearhead Doctrine;Medium;M38028;x
38068;Chief of Army;トマス・コントレラス・ビジャロボス;41;SC;Decisive Battle Doctrine;Low;M38019;x
38069;Chief of Army;カルロス・デルガド・チャルバウド;45;ML;Guns and Butter Doctrine;Medium;L270004;x
38070;Chief of Army;ネルソン・ベルデ・グラテロル;47;SD;Armoured Spearhead Doctrine;Medium;M38070;x
38071;Chief of Navy;ペドロ・ベアウペルトゥイ・ウリチ;39;SC;Power Projection Doctrine;Medium;M38004;x
38072;Chief of Navy;カルロス・モリナ・タラバヨ;41;SC;Decisive Naval Battle Doctrine;Medium;M38042;x
38073;Chief of Navy;ルイス・アルバレス・サンティアゴ;42;ML;Open Seas Doctrine;Medium;M38073;x
38074;Chief of Navy;カルロス・ラモス・ディアス;45;ML;Indirect Approach Doctrine;Medium;M38040;x
38075;Chief of Navy;アントニオ・カサス・ゴンサレス;47;SD;Base Control Doctrine;Medium;M38057;x
38076;Chief of Air Force;ロベルト・デ・ルカ・バレサノ;39;PA;Air Superiority Doctrine;Medium;M38020;x
38077;Chief of Air Force;ギリェリモ・グリフィス・エスカルド;41;SC;Army Aviation Doctrine;Medium;M38077;x
38078;Chief of Air Force;ミゲル・ディアス・フライレ;45;ML;Carpet Bombing Doctrine;Medium;M38041;x
38079;Chief of Air Force;トマス・コントレラス・ビジャロボス;46;LWR;Naval Aviation Doctrine;Medium;M38019;x
38080;Chief of Air Force;ホセ・ポラレス・パボン;47;SD;Air Superiority Doctrine;Medium;M38080;x
38081;Foreign Minister;ペドロ・イリアゴ・チャシン;36;PA;Biased Intellectual;Medium;M38081;x
