VIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
542001;Head of State;バオ・ダイ;36;SL;Weary Stiffneck;High;M542001;x
542002;Head of Government;ルネ・ロバン;36;SL;Flamboyant Tough Guy;High;M542002;x
542003;Foreign Minister;トン・ドク・プオン;36;SL;The Cloak N Dagger Schemer;High;M542003;x
542004;Minister of Armament;グエン・ヴァン・タム;36;SL;Resource Industrialist;Medium;M542004;x
542005;Minister of Security;ホー・ダク・トルン;36;SL;Man of the People;Medium;M542005;x
542006;Head of Military Intelligence;ジャン・ドゥクー;36;SL;Logistics Specialist;Medium;M542006;x
542007;Chief of Staff;ジョルジュ・カトルー;36;SL;School of Manoeuvre;Medium;L24029;x
542008;Chief of Army;ギ・ド・ボーアルネ;36;SL;Static Defence Doctrine;Medium;M542008;x
542009;Chief of Navy;ピエール・パスキエ;36;SL;Decisive Naval Battle Doctrine;Medium;M542009;x
542010;Chief of Air Force;ジュール・ブレヴィエ;36;SL;Army Aviation Doctrine;Medium;M542010;x
542012;Head of State;ホー・チ・ミン;36;LE;Ruthless Powermonger;High;M542012;x
542013;Head of Government;ジュール・ブレヴィエ;36;SL;old airmarshal;High;M542010;x
542014;Head of Government;ジョルジュ・カトルー;39;SL;Old General;High;L24029;x
542015;Head of Government;ジャン・ドゥクー;40;SL;Naive Optimist;High;M542006;x
542016;Head of Government;ジョルジュ・ティエリー・ダルジャンリュー;45;SL;Old Admiral;High;L24173;x
542017;Head of Government;エミレ・ボラエルト;47;SL;Corporate Suit;High;M542017;x
542018;Head of Government;ゴ・ディン・ディエム;36;PA;Smiling Oilman;High;M542018;x
542019;Head of Government;トルオン・チン;36;LE;Backroom Backstabber;High;M542019;x
542020;Foreign Minister;ルイ・ジョフレ;38;SL;Great Compromiser;High;M542020;x
542021;Foreign Minister;レオンス・ジョール;40;SL;General Staffer;High;M542021;x
542022;Foreign Minister;ゴ・ディン・ディエム;43;SL;Iron Fisted Brute;High;M542018;x
542023;Foreign Minister;グエン・ヴァン・スァン;36;PA;Apologetic Clerk;High;M542023;x
542024;Foreign Minister;パム・ヴァン・ドン;36;LE;Ideological Crusader;High;M542024;x
542025;Minister of Armament;グエン・ヴァン・ティン;41;SL;Battle Fleet Proponent;Medium;M542025;x
542026;Minister of Armament;ピエール・ルフォーショー;43;SL;Administrative Genius;Medium;M542026;x
542027;Minister of Armament;レ・ヴァン・ホアク;36;PA;Theoretical Scientist;Medium;M542027;x
542028;Minister of Armament;ドゥオン・チュウ・トゥオク;41;PA;Submarine Proponent;Medium;M542028;x
542029;Minister of Armament;パム・ドゥイ・トン;43;PA;Resource Industrialist;Medium;M542029;x
542030;Minister of Armament;レ・ズアン;36;LE;Military Entrepreneur;Medium;M542030;x
542031;Minister of Security;ピエール・ルイ＝ドレフュス;42;SL;Compassionate Gentleman;Medium;M542031;x
542032;Minister of Security;トラン・ギア・トアイ;43;SL;Efficient Sociopath;Medium;M542032;x
542033;Minister of Security;ゴ・ディン・ヌー;36;PA;Prince of Terror;Medium;M542033;x
542034;Minister of Security;ドゥオン・ヴァン・ミン;43;PA;Back Stabber;Medium;M542034;x
542035;Minister of Security;テ・ルー;36;LE;Silent Lawyer;Medium;M542035;x
542036;Head of Military Intelligence;エミレ・ボラエルト;41;SL;Political Specialist;Medium;M542017;x
542037;Head of Military Intelligence;ピエール・イェーレ;43;SL;Naval Intelligence Specialist;Medium;M542037;x
542038;Head of Military Intelligence;パム・トク・クイア;36;PA;Dismal Enigma;Medium;M542038;x
542039;Head of Military Intelligence;パン・フイ・クアト;36;LE;Political Specialist;Medium;M542039;x
542040;Head of Military Intelligence;レ・タン;41;LE;Industrial Specialist;Medium;M542040;x
542041;Chief of Staff;レオンス・ジョール;40;SL;School of Fire Support;Medium;M542021;x
542042;Chief of Staff;レ・クアン;45;SL;School of Mass Combat;Medium;M542042;x
542043;Chief of Staff;グエン・フー・コー;36;PA;School of Defence;Medium;M542043;x
542044;Chief of Staff;ヴォー・グエン・ザップ;36;LE;School of Psychology;Medium;M542044;x
542045;Chief of Army;ジャン・ドゥクー;41;SL;Decisive Battle Doctrine;Medium;M542006;x
542046;Chief of Army;ドゥオン・ヴァン・ミン;45;SL;Armoured Spearhead Doctrine;Medium;M542046;x
542047;Chief of Army;ホー・チ・ミン;36;LE;Guns and Butter Doctrine;Medium;M542047;x
542048;Chief of Army;ヴォー・グエン・ザップ;42;LE;Elastic Defence Doctrine;Medium;M542048;x
542049;Chief of Navy;ピエール・イェーレ;42;SL;Base Control Doctrine;Medium;M542037;x
542050;Chief of Navy;ジョルジュ・ティエリー・ダルジャンリュー;44;SL;Open Seas Doctrine;Medium;L24173;x
542051;Chief of Navy;ホー・タン・クエン;36;PA;Indirect Approach Doctrine;Medium;M542051;x
542052;Chief of Navy;トラン・トゥン・ドク;36;LE;Power Projection Doctrine;Medium;M542052;x
542053;Chief of Air Force;ミシェル・ブーディエ;42;SL;Naval Aviation Doctrine;Medium;M542053;x
542054;Chief of Air Force;フレデリック・ル・ランジェ;36;PA;Vertical Envelopment Doctrine;Medium;M542054;x
542055;Chief of Air Force;グエン・フー・トー;36;LE;Air Superiority Doctrine;Medium;M542055;x
