WLL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
511001;Head of State;レオン・デグレル;36;NS;Powerhungry Demagogue;NA;M511001;x
511002;Head of Government;レオン・デグレル;36;NS;Old General;NA;M511001;x
511003;Foreign Minister;レオン・デグレル;36;NS;Iron Fisted Brute;Very High;M511001;x
511004;Minister of Armament;ヴィクトル・マティス;36;NS;Military Entrepreneur;Very High;M15058;x
511005;Minister of Security;ポール・オウヴェル;36;NS;Crime Fighter;Very High;M15075;x
511006;Head of Military Intelligence;ポール・オウヴェル;36;NS;Logistics Specialist;Very High;M15075;x
511007;Chief of Staff;ジャン・ヴェルメイア;36;NS;School of Defence;Very High;M511007;x
511008;Chief of Army;ランベルト・シャルドネ;36;FA;Armoured Spearhead Doctrine;Very High;L68002;x
511009;Chief of Navy;ジャン・ヴェルメイア;36;NS;Open Seas Doctrine;Very High;M511007;x
511010;Chief of Air Force;ルシエン・リッペルト;36;NS;Army Aviation Doctrine;Very High;M511010;x
511011;Head of State;アレクサンダー・ヴォン・ファルケンハウゼン;40;NS;Resigned Generalissimo;Very High;M510086;x
511012;Head of State;ヴィクトル・マティス;41;NS;Insignificant Layman;Very High;M15058;x
511013;Head of Government;アレクサンダー・ヴォン・ファルケンハウゼン;40;NS;Silent Workhorse;Very High;M510086;x
511014;Head of Government;ホセ・ストリール;42;NS;Political Protege;Very High;M511014;x
511015;Head of Government;ヴィクトル・マティス;41;NS;Silent Workhorse;Very High;M15058;x
511016;Foreign Minister;ジャン＝フランソワ・コラード;40;FA;Apologetic Clerk;Very High;M511016;x
511017;Foreign Minister;ホセ・ストリール;42;NS;Ideological Crusader;Very High;M511014;x
511018;Foreign Minister;グザヴィエ・デ・グルーン;36;FA;Biased Intellectual;Very High;M511018;x
511019;Minister of Armament;ド・ローノワ男爵;36;FA;Resource Industrialist;Very High;M511019;x
511020;Minister of Armament;ジャン＝フランソワ・コラード;40;FA;laissez-faire capitalist;Very High;M511016;x
511021;Minister of Armament;レオン・デグレル;37;NS;Infantry Proponent;Very High;M511001;x
511022;Minister of Armament;ポール・ギャライン;42;NS;Military Entrepreneur;Very High;M511022;x
511023;Minister of Armament;グザヴィエ・デ・グルーン;36;FA;laissez-faire capitalist;Very High;M511018;x
511024;Minister of Security;ジャン・ヴェルメイア;36;NS;Efficient Sociopath;Very High;M511007;x
511025;Minister of Security;ジョン・ヘイグマンズ;40;NS;Man of the People;Very High;M511025;x
511026;Minister of Security;ホセ・ストリール;42;NS;Man of the People;Very High;M511014;x
511027;Minister of Security;レオン・デグレル;37;NS;Prince of Terror;Very High;M511001;x
511028;Minister of Security;グザヴィエ・デ・グルーン;36;FA;Silent Lawyer;Very High;M511018;x
511029;Head of Military Intelligence;ジョン・ヘイグマンズ;40;NS;Dismal Enigma;Very High;M511025;x
511030;Head of Military Intelligence;ホセ・ストリール;42;NS;Political Specialist;Very High;M511014;x
511031;Chief of Staff;エガート・リーダー;40;NS;School of Manoeuvre;Very High;M510061;x
511032;Chief of Staff;ランベルト・シャルドネ;36;FA;School of Fire Support;Very High;L68002;x
511033;Chief of Staff;レオン・デグレル;36;NS;School of Mass Combat;Very High;M511001;x
511034;Chief of Staff;ルシエン・リッペルト;40;NS;School of Psychology;Very High;M511010;x
511035;Chief of Staff;ポール・オウヴェル;38;NS;School of Manoeuvre;Very High;M15075;x
511036;Chief of Army;エガート・リーダー;40;NS;Elastic Defence Doctrine;Very High;M510061;x
511037;Chief of Army;ジャン・ヴェルメイア;36;NS;Static Defence Doctrine;Very High;M511007;x
511038;Chief of Army;レオン・デグレル;36;NS;Guns and Butter Doctrine;Very High;M511001;x
511039;Chief of Army;ルシエン・リッペルト;40;NS;Decisive Battle Doctrine;Very High;M511010;x
511040;Chief of Army;ポール・オウヴェル;38;NS;Static Defence Doctrine;Very High;M15075;x
511041;Chief of Navy;エガート・リーダー;40;NS;Base Control Doctrine;Very High;M510061;x
511042;Chief of Air Force;エガート・リーダー;40;NS;Air Superiority Doctrine;Very High;M510061;x
