AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
600;ダイムラー社;T600;7;1930;1970;mechanics;general_equipment;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
601;ヒルテンベルガー社;T601;5;1930;1970;aeronautics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
602;ピンチュ社;T602;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
603;シュタイアー社;T603;6;1930;1970;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
608;エルヴィン・シュレーディンガー;T608;6;1930;1960;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
610;ウィーン工科大学;T610;4;1930;1970;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611;ウィーン・ポルシェ社;T12;7;1970;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
612;ウィーン・メッサーシュミット社;T10;6;1970;1970;aeronautics;rocketry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
613;アヴィア社;T1101;5;1970;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614;シュコダ社;T1105;8;1970;1970;mechanics;industrial_engineering;management;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
616;オーストリー造船会社;T3802;4;1970;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
617;原油探索社（RAG）;T617;4;1937;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
620;オーストリア化学会;T620;4;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
621;ヒルテンベルク弾薬工場;T621;5;1930;1970;general_equipment;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
622;ヒルテンベルク・ホフナー;T622;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
623;コールノイブルク造船株式会社;T623;3;1930;1970;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
624;クルト・ゲーデル;T624;7;1930;1950;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
625;オットー・カウバ;T625;5;1942;1970;aeronautics;artillery;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
627;プフ;T627;5;1930;1970;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
629;ヴォルフガンク・グレブナー;T629;5;1930;1970;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
632;リーゼ・マイトナー;T632;7;1970;1968;nuclear_physics;mathematics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
633;ハンズ・スース;T633;6;1936;1970;chemistry;nuclear_physics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
637;アンゼルム・フランツ;T637;6;1930;1970;aeronautics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
604;アレクサンダー・レーア;T604;6;1930;1945;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
605;ヨハン・クベナ;T605;3;1930;1945;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
606;ユリウス・イラム;T606;4;1930;1942;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
607;ロタール・レンデュリック;T607;5;1930;1971;training;small_unit_tactics;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
609;国防省;T609;5;1945;1970;small_unit_tactics;centralized_execution;infantry_focus;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615;オーストリア海軍;T615;5;1970;1970;large_taskforce_tactics;naval_training;seamanship;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
618;エルヴィン・フッセネガー;T618;5;1946;1970;centralized_execution;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
626;ポール・ルーブ;T626;4;1946;1970;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
628;ウェルナー・フォーゲル;T628;4;1946;1970;combined_arms_focus;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630;アウグスト・フィッシャー・ゼー;T630;4;1946;1970;aircraft_testing;bomber_tactics;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
631;ルートヴィッヒ・フォン・アイマンスベルガー;T631;4;1930;1945;combined_arms_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
634;ゲオルク・フォン・トラップ;T634;4;1930;1947;centralized_execution;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635;アルフレート・フービキ;T635;4;1930;1945;combined_arms_focus;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
636;アルフレッド・ヤンシャ;T636;5;1930;1945;centralized_execution;individual_courage;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
638;FEG社;T1601;4;1970;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
639;ガンツ社;T1602;3;1970;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
640;ICN社;T1603;5;1970;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
641;マンフレート・ヴァイス社;T1604;5;1970;1970;aeronautics;industrial_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
642;MAVAG社;T1602;5;1970;1970;aeronautics;technical_efficiency;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
643;MOLAJ社;T1606;6;1970;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
644;フェレンツ・ソンバトヘイ;T1607;4;1970;1960;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645;ジェルジ・デブローディ;T1608;5;1970;1960;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
646;F・リタイ;T1609;3;1970;1941;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
647;ローランド・エトヴェシュ大学;T1610;4;1970;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
648;ヤーノシュ・ヴェレシュ;T1611;4;1970;1960;combined_arms_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
649;ラヨシュ・チャタイ・フォン・チャタイ;T1612;4;1970;1944;combined_arms_focus;decentralized_execution;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
