CHL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5100;アグア・サンタ硝石鉄道;T5100;3;1930;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5101;ウィリアムソン・バルフォア会社;T5101;3;1930;1970;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5102;キャンベル・ウートラム・イ・シー会社;T5102;3;1930;1970;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5103;チリ鉱物工業会社;T5103;4;1930;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5104;チリ産業開発公社;T5104;4;1946;1970;industrial_engineering;general_equipment;management;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5105;チリ電力公社;T5105;2;1930;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5106;陸軍兵学校;T5106;4;1930;1970;combined_arms_focus;small_unit_tactics;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5107;トランスアンディーン建設会社;T5107;4;1930;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5109;C・J・ド・ラ・モット・デュ・ポルタイユ;T5109;3;1930;1970;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5110;フランシスコ・オライアン・オレゴ;T5110;4;1938;1946;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5111;ディエゴ・アラセナ;T5111;3;1938;1960;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5112;マーマデューク・グローヴ;T5112;5;1937;1960;fighter_tactics;piloting;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5113;E・ノバア・フェンテス;T5113;3;1930;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5114;カルロス・フェンテス・ラーベ;T5114;4;1938;1960;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
