CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100;アエロ社;T1100;6;1930;1970;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1101;アヴィア社;T1101;5;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1102;セスカ・ズブロジョブカ社;T1102;5;1930;1970;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1103;チェコ・コルベンダネック社;T1103;7;1930;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1104;レトフ社;T1104;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1105;シュコダ社;T1105;8;1930;1970;mechanics;industrial_engineering;management;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1106;エミル・ヤヌスカ;T1106;4;1930;1939;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1107;ヨゼフ・フランチシェク;T1107;5;1930;1970;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1108;セルゲイ・ヴォイツェホフスキー;T1108;4;1930;1945;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1109;ヤロスラブ・ヘイロフスキー;T1109;6;1930;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110;カレル大学（プラハ）;T1110;5;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1111;国防省;T1111;4;1930;1970;large_unit_tactics;centralized_execution;fighter_tactics;piloting;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1112;ルドヴィーク・スヴォボダ;T4101;5;1945;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
