DFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7000;ブローム・ウント・フォス社;T1;7;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7001;コンラート・ツーゼ;T5;7;1930;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7002;クルップ社;T7;9;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7003;マン社;T8;8;1930;1970;mechanics;chemistry;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7004;モーゼル製造会社;T9;8;1930;1970;general_equipment;mechanics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7005;ドルニエ航空機製造;T50;6;1954;1970;electronics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7006;オペル社;T11;7;1930;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7007;ポルシェ社;T12;9;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7008;ラインメタル社;T13;7;1930;1970;artillery;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7009;ジーメンス社;T14;8;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7010;フォルクスワーゲン社;T15;6;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7011;ヴェルナー・ハイゼンベルク;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7012;エーリッヒ・フォン・マンシュタイン;T20;8;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7013;ハインツ・グデーリアン;T22;9;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7014;コンラート・パッツィヒ;T7014;6;1930;1970;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7015;アルフレート・ビュロヴィウス;T7015;6;1930;1970;piloting;aircraft_testing;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7016;ヨーゼフ・カムフーバー;T7016;6;1930;1970;electronics;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7017;バイエル;T664;7;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7018;ヘキスト;T665;7;1951;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7019;BASF;T666;7;1952;1970;chemistry;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
