FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1300;アエロ・オイ社;T1300;5;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1301;クライトン・フルカン社;T1301;5;1930;1970;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1302;キュンメネ社;T1302;5;1930;1970;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1303;ティッカコスキ銃器工廠;T1303;5;1930;1970;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1304;ヴァルメット社;T1304;4;1946;1970;aeronautics;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1312;エスポー航空委員会;T1304;5;1970;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1313;トゥルク海洋設計局;T1301;5;1970;1970;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1314;ヘルシンキ機械設計局;T1302;5;1970;1970;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1315;クーシネン・ティッカコスキ記念工場;T1303;5;1970;1970;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1305;カール・G・マンネルヘイム;T1305;7;1930;1970;infantry_focus;individual_courage;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1306;リカルド・ローレンツ;T1306;6;1930;1970;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1307;ヴィルホ・ネノネン;T1307;6;1937;1947;artillery;training;electronics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1308;カール・レナート・オーシュ;T1308;6;1930;1970;combined_arms_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1309;ヴァイノ・ヴァルヴ;T1309;4;1930;1970;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1310;アルトゥーリ・ヴィルタネン;T1310;6;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1311;ラース・アールフォルス;T1311;6;1938;1970;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1316;アクセリ・M・アンティッラ;T1316;4;1970;1954;infantry_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
