GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1;ブロム・ウント・フォス社;T1;6;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2;ハインケル航空機製造会社;T2;7;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3;I・G・ファルベン社;T3;9;1930;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;ユンカース社;T4;8;1930;1970;chemistry;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;コンラート・ツーゼ;T5;7;1935;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;キール海軍造船所;T6;7;1939;1943;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;クルップ社;T7;9;1930;1970;industrial_engineering;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8;マン社;T8;8;1930;1970;mechanics;chemistry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9;モーゼル製造会社;T9;8;1930;1970;general_equipment;mechanics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;メッサーシュミット社;T10;9;1930;1970;aeronautics;rocketry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11;オペル社;T11;7;1930;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12;ポルシェ社;T12;9;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13;ラインメタル社;T13;7;1930;1970;artillery;mechanics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;ジーメンス社;T14;8;1930;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15;フォルクスワーゲン社;T15;7;1937;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;ヴェルナー・ハイゼンベルク;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;ヴェルナー・フォン・ブラウン;T17;9;1932;1976;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;フォッケウルフ;T26;8;1930;1970;aeronautics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;AEG社;T27;6;1970;1970;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;アラド社;T28;8;1930;1970;aeronautics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;C.G.ハーネル社;T29;8;1930;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;ダイムラー・ベンツ社;T30;7;1930;1970;artillery;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;デグサ社;T31;8;1970;1970;chemistry;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;ドイッチェ・ベルケ;T32;6;1930;1970;electronics;naval_engineering;aeronautics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;フーゴ・シュナイダー社;T33;7;1930;1970;artillery;training;general_equipment;rocketry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
34;ヘッケラー＆コッホ;T34;6;1949;1970;mechanics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35;ハイムゼート＆リンカ;T35;7;1934;1970;mechanics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
36;ヘンシェル・ウント・ゾーン社;T36;9;1930;1970;mechanics;rocketry;aeronautics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
38;クラウス＝マッファイ社;T38;8;1955;1970;artillery;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
39;フリードリヒ・クルップ・ゲルマニアヴェルフト;T39;6;1930;1970;electronics;general_equipment;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40;ブレーマー・フルカン造船所;T40;4;1970;1970;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
42;テレフンケン社;T42;8;1930;1970;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
43;合同製鋼株式会社;T43;7;1970;1970;artillery;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
44;アウトニオン;T44;6;1970;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45;バイエリッシェ・モトーレン・ヴェルケAG;T45;7;1930;1970;mechanics;industrial_engineering;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
46;マイバッハ社;T46;5;1970;1970;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
47;ホヴァルツヴェルケ;T47;7;1930;1970;naval_engineering;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
48;デシュマグ;T48;6;1930;1970;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50;ドルニエ社;T50;7;1970;1970;aeronautics;chemistry;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
51;ゴータ車両製造会社;T51;7;1893;1970;mechanics;electronics;chemistry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
52;ドイツ滑空機研究所;T52;6;1970;1970;aeronautics;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
53;フリードリヒ・ベルギリウス;T53;7;1970;1949;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
54;カール・ボッシュ;T54;9;1930;1940;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
68;ワルサー社;T68;6;1970;1970;mechanics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
71;アレクサンダー・リピッシュ;T71;7;1970;1976;aeronautics;rocketry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
72;ヘルムート・ヴァルター;T72;7;1970;1980;aeronautics;rocketry;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
73;フルカン・シュテッティン;T73;6;1930;1970;electronics;general_equipment;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75;マックス・フォン・ラウエ;T75;7;1970;1960;nuclear_physics;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82;ヘルマン・ゲーリング国家工場;T82;7;1970;1970;mechanics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
83;ダフィット・ヒルベルト;T83;9;1930;1943;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
84;ベーリンガーインゲルハイム;T84;6;1970;1970;chemistry;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
85;ノルトゼーヴェルケ・エムデン;T85;5;1970;1970;naval_engineering;general_equipment;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
89;フェリクス・ヴァンケル;T89;6;1970;1970;naval_engineering;electronics;industrial_engineering;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90;ヴァルター・ドルンベルガー;T90;7;1970;1980;aeronautics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93;ハノーファーシェ・マシネンバウ;T93;7;1930;1970;artillery;mechanics;electronics;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95;ロベルト・ルッサー;T95;8;1938;1970;aeronautics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
49;カイザーヴィルヘルム研究所;T49;9;1911;1970;chemistry;nuclear_physics;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
