HOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2300;ヘンブルク砲工廠;T2300;4;1930;1970;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2301;DAF社;T2301;5;1930;1970;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2302;フォッカー社;T2302;6;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2303;HIHシデリウス社;T2303;5;1930;1970;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2304;コニンクレイケ社;T2304;5;1930;1970;naval_engineering;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2305;コールホーフェン社;T2305;5;1930;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2306;NSMアムステルダム社;T2306;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2307;シェル社;T2307;7;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2308;ウィルトン・フィエンノールト造船所;T2308;6;1930;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2309;王立オランダ陸軍;T2309;4;1930;1970;infantry_focus;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2310;ジョハネス・フルストナー;T2310;4;1930;1962;large_taskforce_tactics;naval_training;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2311;王立オランダ空軍;T2311;4;1930;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2312;ペトルス・ベスト;T2312;3;1937;1951;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2313;ヘンリ・ウィンケルマン;T2313;4;1934;1946;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2314;フィリップス社;T2314;7;1936;1970;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2316;フリッツ・ゼルニケ;T2316;6;1930;1966;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
