HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1600;ブダペスト化学会社;T1600;5;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1601;FEG社;T1601;4;1930;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1602;ガンツ社;T1602;3;1930;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1603;ICN社;T1603;5;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1604;マンフレート・ヴァイス社;T1604;5;1930;1970;aeronautics;industrial_engineering;technical_efficiency;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1605;MAVAG社;T1602;5;1930;1970;aeronautics;technical_efficiency;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1606;MOLAJ社;T1606;6;1944;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1607;フェレンツ・ソンバトヘイ;T1607;4;1930;1960;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1608;ジェルジ・デブローディ;T1608;5;1940;1960;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1609;F・リタイ;T1609;3;1930;1941;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1610;ローランド・エトヴェシュ大学;T1610;4;1930;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1611;ヤーノシュ・ヴェレシュ;T1611;4;1930;1960;combined_arms_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1612;ラヨシュ・チャタイ・フォン・チャタイ;T1612;4;1930;1944;combined_arms_focus;decentralized_execution;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1613;ホルティ・ミクローシュ;T1613;5;1930;1970;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1614;ゾルタン機関室;T1614;5;1930;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1615;チェコ・コルベンダネック社;T1103;7;1970;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1616;コメニウス大学;T4103;3;1970;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1617;ハンガリー王立造幣局;T1617;5;1970;1970;technical_efficiency;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1618;国有クロアチア鉄道;T3805;5;1970;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1619;イカルス・フルヴァツカ;T3800;4;1970;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1620;インダストリア・エアロプランスキー・モトラ;T3801;3;1970;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1621;オシエク産業共同体;T13;4;1970;1970;industrial_engineering;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1622;スプリト海軍工廠;T3802;5;1970;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1623;ザグレブ軍事工廠;T3812;5;1970;1970;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1624;スラヴコ・クヴァテルニク;T31006;3;1970;1970;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1625;ウラジミール・ラクサ;T31007;4;1970;1970;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1626;ウラジミール・クレン;T31010;4;1970;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
