IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4000;レイランド社;T4000;4;1930;1970;mechanics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4001;グールディング化学会社;T4001;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4002;レノックス化学会社;T4002;4;1930;1970;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4003;M・J・コステロ;T4003;4;1930;1970;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4004;H・T・グリーン;T4004;3;1930;1970;naval_training;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4005;P・A・マルケイヒー;T4005;3;1930;1970;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4006;エルンスト・T.S.ウォルトン;T4006;4;1930;1970;nuclear_physics;mathematics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4007;エア・リンガス;T4007;4;1930;1970;aeronautics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4008;ダブリン造船所;T4008;4;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4009;ハーランド・アンド・ウォルフ社;T307;5;1970;1970;naval_engineering;naval_artillery;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
