ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11600;ヘブライ大学;T11600;5;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11601;イスラエル・エアクラフト社;T11601;7;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11602;イスラエル軍事工業会社;T11602;7;1930;1970;mechanics;artillery;general_equipment;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11603;タディラン・エレクトロニック工業会社;T11603;5;1944;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11604;兵器開発公社;T11604;6;1930;1970;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11605;エルビット・システムズ社;T11605;6;1944;1970;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11606;モーシェ・ダヤン;T11606;7;1944;1970;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11607;イガエル・ヤディン;T11607;5;1930;1970;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11608;モーシェ・クレリッツ;T11608;4;1930;1970;naval_training;small_taskforce_tactics;centralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11609;ハイム・ラスコフ;T11609;7;1930;1970;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
