ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1800;アルトゥーロ・クロッコ;T1800;4;1930;1970;chemistry;rocketry;aeronautics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1801;ベレッタ社;T1801;4;1930;1970;artillery;electronics;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1802;ブレダ社;T1802;4;1930;1970;artillery;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1803;ブルーノ・デ・フィネッティ;T1803;5;1943;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1804;アンサルド造船所;T1804;5;1930;1970;general_equipment;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1805;CRDA社トリエステ造船所;T1805;5;1930;1970;aeronautics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1806;カプロニ社;T1806;4;1930;1970;electronics;chemistry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1807;エンリコ・フェルミ;T1807;6;1930;1938;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1808;フィアット社;T1808;5;1930;1970;aeronautics;electronics;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1809;グイード・フビーニ;T1809;4;1930;1939;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1810;マッキ社;T1810;6;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1811;サボイア・マルケッティ;T1811;4;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1812;ランチア社;T1812;4;1930;1970;artillery;mechanics;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1820;モンテカティーニ社;T1820;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1821;ジュリオ・ナッタ;T1821;5;1930;1960;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1822;バリラ社;BARILLA;4;1930;1970;technical_efficiency;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1824;アルファ・ロメオ社;ALFAROMEO;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1823;ピアジオ社;PIAGGIO;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1825;エドゥアルド・アマルディ;AMALDI;4;1940;1951;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1826;ボローニャ大学;BOLOGNA;4;1930;1970;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1827;オレステ・ピッチョーニ;Piccioni;4;1938;1970;nuclear_physics;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1828;フィンメッカニカ;Finmeccanica;6;1948;1970;naval_engineering;electronics;aeronautics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1833;オルソ・コルビーノ;T1833;5;1930;1937;nuclear_physics;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1836;OTO;OTO;7;1930;1946;artillery;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1837;OTO;OTO;7;1946;1953;artillery;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1838;OTO・メラーラ;OTO;8;1953;1985;artillery;naval_artillery;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1839;レッジアーネ社;T1839;6;1930;1970;aeronautics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1840;フランキ社;T1840;3;1930;1990;general_equipment;artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1841;ジュゼッペ・ガブリエッリ;T1841;6;1930;1987;aeronautics;management;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1842;エミリオ・セグレ;T1842;6;1930;1938;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1845;アジップ;T1845;4;1930;1953;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1847;ブレダ造船所;T1847;4;1930;1970;industrial_engineering;management;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1848;ブレダ鉄道;T1848;4;1930;1970;industrial_engineering;management;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1849;ブレダIMAM社;T1849;4;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1851;Eni;T1851;4;1953;1970;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1852;フィアット・アンサルド社;T1852;4;1930;1970;electronics;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1853;イタリア国立核物理学研究所;T1853;5;1952;1970;electronics;mathematics;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1854;オリベッティ社;T1854;5;1946;1970;chemistry;electronics;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1856;テルニ社;T1856;4;1930;1970;chemistry;general_equipment;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
