MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6400;南満洲鉄道;T6400;4;1930;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6401;満洲飛行機製造;T6401;4;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6402;満洲拓殖公社;T6402;4;1930;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6408;同和自動車工業;T6408;5;1934;1970;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6410;奉天工廠;T6410;4;1930;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6411;昭和製鋼所;T6411;5;1933;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6422;大連汽船;T6422;3;1930;1970;naval_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6424;満洲重工業開発;T6424;5;1937;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6450;満洲映画協会;T6450;4;1930;1970;training;electronics;management;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6441;イスラエル・エアクラフト社;T11601;7;1970;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6442;イスラエル軍事工業会社;T11602;7;1970;1970;mechanics;artillery;general_equipment;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6451;三井造船海参巌事業所;T1907;6;1970;1970;naval_engineering;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6452;満洲スタンダード・オイル;T117;6;1970;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6453;三菱＝GM・満洲自動車工業;T10503;6;1970;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6454;蒙古鉄道公社;T64000;4;1970;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6455;興安局;T1909;5;1970;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6456;蒙古拓殖公社;T64002;4;1970;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6457;呼和浩特（フフホト）工廠;T13;5;1970;1970;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6458;蒙古帝国財閥;T1902;4;1970;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6459;カルガン中央アカデミー;T1003;4;1970;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6404;板垣征四郎;T6404;4;1930;1939;infantry_focus;individual_courage;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6405;梅津美治郎;T6405;4;1939;1970;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6440;石原莞爾;T1930;7;1970;1970;small_unit_tactics;training;individual_courage;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6429;野口雄二郎;T6429;4;1940;1970;training;fighter_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6406;岡敬純;T6406;4;1930;1970;submarine_tactics;seamanship;naval_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6426;吉興;T6426;4;1970;1970;artillery;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6428;尹祚乾;T6428;3;1970;1970;small_unit_tactics;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6430;曹秉森;T6430;3;1970;1970;fighter_tactics;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6443;モシェ・ダヤン;T11606;7;1970;1970;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6444;ハイム・ラスコフ;T11609;7;1970;1970;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
