MEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
64000;蒙古国鉄道公社;T64000;4;1930;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64001;興安局;T1909;5;1930;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64002;蒙古国拓殖公社;T64002;4;1930;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64003;神津義男;T64003;5;1940;1970;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64004;恒岡完治;T64004;4;1930;1938;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64005;本田熊太郎;T64005;6;1939;1970;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64007;梅津美治郎;T64007;3;1939;1970;aircraft_testing;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64008;呼和浩特（フフホト）工廠;T13;5;1930;1970;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64009;蒙古帝国財閥;T1902;4;1930;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64010;カルガン中央アカデミー;T1003;4;1930;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
