NOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2500;ホルテン造船所;T2500;3;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2501;ケーラー航空機製造社;T2501;4;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2502;コングスベルグ武器工場;T2502;4;1930;1970;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2503;クヴェーナー社;T2503;6;1930;1970;naval_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2504;レウフォス弾薬工場;T2504;5;1930;1970;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2509;ノルスク・ハイドロ;T2509;5;1930;1970;chemistry;industrial_engineering;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2505;カール・グスタフ・フライシャー;T2505;4;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2506;ノルウェー王立空軍;T2506;3;1930;1970;bomber_tactics;centralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2507;ノルウェー王立海軍;T2507;3;1930;1970;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2508;オッド・ハッセル;T2508;5;1930;1970;management;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
