POR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2800;リスボン造船所;T2800;4;1930;1970;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2801;航空機総合研究所;T2801;3;1930;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2802;アルフェイテ海軍工廠;T2802;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2803;ポルトガル鉄道会社;T2803;5;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2804;ジョゼ・ノルトン・デ・マトス;T2804;2;1930;1938;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2805;フランシスコ・ソアレス;T2805;4;1930;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2806;機械工学総合研究所;T2806;3;1930;1970;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2807;サンタ・クララ軍需工場;T2807;3;1930;1970;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2808;ジャイメ・アフレイショ;T2808;3;1930;1970;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2809;マヌエル・ゴウヴェイア;T2809;3;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
