RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7200;造船技術中央研究所;T11003;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7201;グラービン設計局;T3708;5;1930;1970;mechanics;artillery;technical_efficiency;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7202;イゴール・Y・タム;T7202;3;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7203;イリューシン設計局;T3709;5;1930;1970;aeronautics;electronics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7204;カリーニン機械工場;T7204;5;1930;1970;general_equipment;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7205;キーロフ工場第2特別設計局;T3710;6;1930;1970;mechanics;artillery;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7207;ミクーリン設計局;T7207;5;1944;1970;aeronautics;mechanics;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7208;ネフスコイエ設計局;T3711;4;1930;1970;naval_engineering;technical_efficiency;naval_artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7209;ルビン海軍技術研究所;T7209;5;1930;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7210;セルゲイ・コロリョフ;T3720;7;1930;1966;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7211;ヴォルゴグラード・トラクター設計局;T3713;4;1930;1970;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7212;スホーイ設計局;T7212;4;1939;1970;aeronautics;electronics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7213;V.A.デグチャレフ工場;T7213;6;1930;1970;artillery;chemistry;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7216;カザノルグジンチェツ;T3766;6;1959;1970;mathematics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7217;カザン石油化学利益共同体;T3766;7;1970;1970;chemistry;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7218;ポルシェ・ニジニ・ノヴゴロド車両工場;T15;6;1970;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7219;ユンカース・モスクワ設計局;T4;6;1970;1970;chemistry;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7214;モスクワ軍事大学;T7214;4;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7215;サンクトペテルブルグ海軍大学;T10402;3;1930;1970;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
