SIA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9100;ルワン・ピブーンソンクラーム;T9100;3;1930;1957;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9101;海軍参謀本部;T9101;3;1930;1960;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9102;ルアン・カユソンクラム;T9102;4;1942;1960;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9103;ルアン・シントゥソンクラムチャイ;T9103;2;1930;1944;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9104;バンコク造船所;T6;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9105;バンコク工廠;T13;4;1930;1970;mechanics;artillery;training;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9106;王立航空局;T6401;4;1930;1970;aeronautics;artillery;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9107;サイアムセメント;T10504;5;1930;1970;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9108;サイアム・エレクトリシティ株式会社;T2704;5;1930;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9109;タマサート大学;T9109;3;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9110;サリット・タナラット;T9110;4;1957;1970;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9111;タイ銀行;T9111;2;1943;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
