SIB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13100;チャプリギン・シベリア航空科学研究所;T13100;7;1941;1970;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13101;チカロフ航空機製造会社;T13101;5;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13102;イルクーツク航空産業連合;T13102;5;1930;1970;aeronautics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13103;ニジニ・タギル鉄道車両製作工場;T3712;4;1930;1970;mechanics;technical_efficiency;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13104;ノヴォシビルスク電気工学大学;T13104;4;1930;1970;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13105;ノヴォシビルスク国立錫工場;T10504;3;1930;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13106;ノヴォシビルスク石油精製所;T10504;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13107;ノヴォシビルスク通信機器工場;T13107;4;1930;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13108;オムスク・エンジン設計事務所;T13108;4;1930;1970;aeronautics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13109;POシブセルマッシュ社;T13109;5;1930;1970;management;industrial_engineering;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13110;ウラン・ウデ航空機工場;T13110;5;1939;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13113;川崎車輌イルクーツク支社;T1902;5;1970;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13114;三井造船オホーツク造船所;T1907;4;1970;1970;naval_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13115;住友鉱業・ノヴォシビルスク開発;T1910;5;1970;1970;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13111;シベリア軍事大学;T10401;4;1930;1970;training;large_unit_tactics;centralized_execution;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13112;ミハイル・トハチェフスキー;T3706;9;1970;1970;training;large_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
