USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100;ボーイング社;T100;7;1930;1942;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
173;ボーイング社;T100;8;1942;1970;rocketry;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;フロント・ドライブ・モーター社;T101;5;1930;1970;mechanics;artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102;カーチス・ライト社;T102;8;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
103;ダグラス航空機会社;T103;7;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;フォード・モーター社;T104;8;1930;1970;mechanics;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
174;フォード・モーター社;T104;9;1970;1970;mechanics;general_equipment;aeronautics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;ヒギンズ工業会社;T105;7;1941;1946;artillery;mechanics;general_equipment;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
168;フード・マシナリー・コーポレーション;T168;7;1943;1970;mechanics;training;general_equipment;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;ジョン・フォン・ノイマン;T106;9;1941;1957;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;ロッキード・マーティン先進開発計画;T107;8;1943;1970;rocketry;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;マーモン・ヘリントン社;T108;7;1930;1970;mechanics;technical_efficiency;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;ニューポート・ニューズ造船所;T109;7;1930;1970;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;ニューヨーク海軍造船所;T110;7;1930;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
111;ニールス・ボーア;T111;8;1951;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;ノーフォーク海軍造船所;T112;8;1930;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
113;レイセオン社;T113;7;1930;1970;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
114;ロバート・オッペンハイマー;T114;9;1930;1954;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
115;ロバート・トルーアクス;T115;6;1930;1967;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
116;スプリングフィールド兵器工廠;T116;7;1930;1970;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
117;カリフォルニア・スタンダード石油会社;T117;8;1930;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
118;テキサス石油会社;T118;9;1930;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
119;ウィンチェスター・リピーティングアームズ社;T119;6;1930;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
128;ゼネラル・エレクトリック社;T128;8;1930;1970;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
129;フィラデルフィア海軍造船所;T129;6;1970;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
132;IBM社;T132;7;1954;1970;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
133;ヴェルナー・フォン・ブラウン;T133;9;1970;1958;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
134;カイザー造船所;T134;8;1939;1970;naval_engineering;technical_efficiency;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
135;ロスアラモス国立研究所;T114;9;1970;1970;nuclear_physics;nuclear_engineering;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
136;ベル研究所;T136;8;1930;1970;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
137;プリンストン高等研究所;T137;9;1930;1970;mathematics;nuclear_physics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
138;アメリカン・ロコモティブ社;T138;7;1940;1970;mechanics;artillery;technical_efficiency;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
139;クライスラー社;T139;7;1941;1970;mechanics;artillery;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
140;アメリカ航空宇宙局;T140;9;1958;1970;rocketry;nuclear_engineering;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
141;レッドストーン兵器廠;T141;9;1942;1970;artillery;electronics;chemistry;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143;ノース・アメリカン・アヴィエーション社;T143;8;1940;1970;aeronautics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
144;レミントン・アームズ社;T144;6;1940;1970;artillery;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145;アメリカ陸軍武器科;T145;7;1930;1941;artillery;mechanics;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
167;アメリカ陸軍武器科;T145;7;1941;1970;artillery;mechanics;chemistry;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
146;ウェスティングハウス・エレクトリック;T146;6;1941;1970;electronics;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
153;コルト社;T153;7;1930;1990;artillery;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
154;スターム・ルガー;T154;7;1949;1990;artillery;general_equipment;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
155;スミス&ウェッソン;T155;6;1970;1990;general_equipment;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
156;ハイスタンダード社;T156;5;1970;1990;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
157;ブローニング・アームズ;T157;7;1930;1990;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
158;ゼネラルモーターズ;T159;8;1930;1990;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
160;パシフィック・カー・ファウンダリー社;T160;5;1970;1990;mechanics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
161;デュポン;T161;8;1930;1990;chemistry;industrial_engineering;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
162;エッソ;T162;6;1970;1990;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
163;ハンス・ベーテ;T164;6;1970;1990;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
