VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6601;アミオ社;T1401;4;1930;1970;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6603;ドヴォワチーヌ社;T1403;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6604;FAMH社;T1404;4;1930;1970;mechanics;training;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6607;クールマン社;T1407;3;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6608;サン・テティエンヌ兵器製造所;T1408;5;1930;1970;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6611;ローヌ・プーラン社;T1411;3;1930;1970;chemistry;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6613;シュナイダー社;T1413;3;1930;1970;artillery;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6614;SNPA社;T1414;4;1941;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6615;ソミュア社;T1415;5;1930;1970;mechanics;industrial_engineering;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6617;フランソワ・ダルラン;T1418;3;1930;1942;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6619;マルセル・ジャンスール;T1420;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6621;モーリス・ガムラン;T1422;1;1930;1940;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6622;マキシム・ウェイガン;T1423;2;1940;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6630;サン・ナゼール・ペノエ造船所;T1400;5;1970;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6631;ブレスト海軍工廠;T1402;6;1970;1970;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6632;モラーヌ・ソルニエ社;T1409;3;1970;1970;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6633;ルノー社;T1410;4;1970;1970;mechanics;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6634;サン・ゴバン社;T1412;1;1970;1970;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
